Episode,Spotlight,Tips & Tricks
<a href="https://destinationlinux.org/episode-153">DL153</a>,<a href="https://github.com/raboof/nethogs" target="_blank" rel="nooopener">Nethogs</a>,<a href="https://support.ipconfigure.com/hc/en-us/articles/213064963-Orchid-Core-VMS-Documentation" target="_blank" rel="nooopener">Orchid Core VMS</a>
<a href='https://destinationlinux.org/episode-152'>DL152</a>,<a href="https://edu.kde.org/" target="_blank" rel="nooopener">KDE Education Suite</a> | <a href="https://www.wikitolearn.org/" target="_blank" rel="nooopener">WikiToLearn</a>,<a href="https://forums.zoneminder.com/viewtopic.php?f=9&t=25392&sid=232ffaa64312bf283a4f8d82f2e1c9aa" target="_blank" rel="nooopener">Raspberry Pi into a ONVIF IP Camera</a>
<a href='https://destinationlinux.org/episode-151'>DL151</a>,<a href="https://github.com/wwmm/pulseeffects" target="_blank" rel="nooopener">PulseEffects</a> effects for pulseaudio,Tab Complete & <a href="https://iridakos.com/programming/2018/03/01/bash-programmable-completion-tutorial" target="_blank" rel="nooopener">dothis</a> (tabs in scripts)
<a href='https://destinationlinux.org/episode-150'>DL150</a>,<a href="https://bitwarden.com/" target="_blank" rel="nooopener">Bitwarden</a> open source password manager,<a href="https://www.turnkeylinux.org/" target="_blank" rel="nooopener">TurnKeyLinux</a> library of system images
<a href='https://destinationlinux.org/episode-149'>DL149</a>,<a href="http://www.nongnu.org/synaptic/" target="_blank" rel="nooopener">Synaptic</a> | <a href="https://kde.org/applications/system/org.kde.muon" target="_blank" rel="nooopener">Muon</a> (package manager),<a href="http://world.std.com/~reinhold/diceware.html" target="_blank" rel="nooopener">Diceware</a> (passwords method)
<a href='https://destinationlinux.org/episode-148'>DL148</a>,<a href="https://drill.software/" target="_blank" rel="nooopener">Drill</a> (file search),Telegram tips & shortcuts
<a href='https://destinationlinux.org/episode-147'>DL147</a>,<a href="https://www.falkon.org/" target="_blank" rel="nooopener">Falkon</a> (web browser),<a href="http://man7.org/linux/man-pages/man1/df.1.html" target="_blank" rel="nooopener">df</a> (diskspace monitoring) | <a href="https://github.com/hephaest0s/usbkill" target="_blank" rel="nooopener">USB Kill</a>
<a href='https://destinationlinux.org/episode-146'>DL146</a>,<a href="https://nmap.org/" target="_blank" rel="nooopener">nmap</a> (network scanner),<a href="https://nmap.org/zenmap/" target="_blank" rel="nooopener">zenmap</a>
<a href='https://destinationlinux.org/episode-145'>DL145</a>,<a href="https://pi-hole.net/" target="_blank" rel="nooopener">PiHole</a> (ad blocking),<a href="https://feedfry.com/" target="_blank" rel="nooopener">FeedFry.com</a> (RSS on-the-fly)
<a href='https://destinationlinux.org/episode-144'>DL144</a>,<a href="https://www.xmind.net/" target="_blank" rel="nooopener">xmind</a> (mind mapping),SailfishOS Guide
<a href='https://destinationlinux.org/episode-143'>DL143</a>,<a href="http://app-outlet.github.io/" target="_blank" rel="nooopener">App Outlet</a>,<a href="https://discourse.destinationlinux.network/t/podcast-app-for-linux-whats-your-favorite/597" target="_blank" rel="nooopener">Podcast Linux Apps</a> (forum thread)
<a href='https://destinationlinux.org/episode-142'>DL142</a>,<a href="https://www.openwall.com/john/" target="_blank" rel="nooopener">John The Ripper</a> (password cracker),<a href="https://www.paravelsystems.com/rivendell" target="_blank" rel="nooopener">Rivendell</a> (Automation)
<a href='https://destinationlinux.org/episode-141'>DL141</a>,<a href="https://picard.musicbrainz.org/" target="_blank" rel="nooopener">Picard</a> (music tagger),<a href="https://destinationlinux.network/mumble" target="_blank" rel="nooopener">DLN Mumble Server</a> (voice chat)
<a href='https://destinationlinux.org/episode-140'>DL140</a>,<a href="https://usbguard.github.io/" target="_blank" rel="nooopener">USB Guard</a>,<a href="https://linux.die.net/man/1/rpl" target="_blank" rel="nooopener">rpl</a> (text replacement)
<a href='https://destinationlinux.org/episode-139'>DL139</a>,<a href="http://espeak.sourceforge.net/" target="_blank" rel="nooopener">espeak</a> (text to speech),<a href="http://portal.altispeed.com/kb/faq.php?id=223" target="_blank" rel="nooopener">OpenVPN</a>
<a href='https://destinationlinux.org/episode-138'>DL138</a>,<a href="https://www.signal.org/" target="_blank" rel="nooopener">Signal</a> (messenger),<a href="https://www.youtube.com/watch?v=ur0DkKll1es" target="_blank" rel="nooopener">Video Wallpapers</a> (KDE Plasma)
<a href='https://destinationlinux.org/episode-137'>DL137</a>,<a href="https://github.com/PhotoFlare/photoflare" target="_blank" rel="nooopener">Photoflare</a> (image editor),<a href="https://vgough.github.io/encfs/" target="_blank" rel="nooopener">EncFS</a> | <a href="https://www.cryfs.org/" target="_blank" rel="nooopener">CryFS</a> | <a href="https://github.com/KDE/plasma-vault" target="_blank" rel="nooopener">KDE Vaults</a> | <a href="https://mhogomchungu.github.io/sirikali/" target="_blank" rel="nooopener">SiriKali</a> (file encryption)
<a href='https://destinationlinux.org/episode-136'>DL136</a>,<a href="https://freeotp.github.io/" target="_blank" rel="nooopener">FreeOTP</a> (one time passwords),<a href="http://man7.org/linux/man-pages/man1/script.1.html" target="_blank" rel="nooopener">script</a> (record shell)
<a href='https://destinationlinux.org/episode-135'>DL135</a>,<a href="https://teejeetech.in/buy-ukuu/" target="_blank" rel="nooopener">Ukuu</a>,<a href="https://syncthing.net/" target="_blank" rel="nooopener">SyncThing</a> (bash scripts syncing)
<a href='https://destinationlinux.org/episode-134'>DL134</a>,<a href="https://linrunner.de/en/tlp/docs/tlp-linux-advanced-power-management.html" target="_blank" rel="nooopener">TLP</a> (battery optimization),<a href="https://linux.die.net/man/1/pkill" target="_blank" rel="nooopener">pkill</a>
<a href='https://destinationlinux.org/episode-133'>DL133</a>,<a href="https://pinta-project.com/pintaproject/pinta/" target="_blank" rel="nooopener">Pinta</a> (image editor),<a href="https://www.vanheusden.com/multitail/" target="_blank" rel="nooopener">Multitail</a>
<a href='https://destinationlinux.org/episode-132'>DL132</a>,<a href="http://www.projectlibre.com/product/projectlibre-open-source" target="_blank" rel="nooopener">ProjectLibre</a> (Microsoft Project alternative),<a href="https://github.com/FeralInteractive/gamemode" target="_blank" rel="nooopener">Feral Interactive Game Mode</a>
<a href='https://destinationlinux.org/episode-131'>DL131</a>,<a href="http://github.com/phw/peek" target="_blank" rel="nooopener">Peek</a> | <a href="http://www.maartenbaert.be/simplescreenrecorder/" target="_blank" rel="nooopener">SimpleScreenRecorder</a>,<a href="https://ffmpeg.org/" target="_blank" rel="nooopener">FFMPEG</a>
<a href='https://destinationlinux.org/episode-130'>DL130</a>,<a href="https://ownyourbits.com/nextcloudpi" target="_blank" rel="nooopener">nextcloudpi</a> (nextcloud on raspberry pi),<a href="https://www.bemyeyes.com/" target="_blank" rel="nooopener">Be My Eyes</a> (mobile app for visually impaired)
<a href='https://destinationlinux.org/episode-129'>DL129</a>,<a href="https://www.pine64.org/2019/07/05/july-update-all-about-the-pinebook-pro/" target="_blank" rel="nooopener">Pinebook Pro</a> (ARM laptop),VIM archive tip
<a href='https://destinationlinux.org/episode-128'>DL128</a>,<a href="https://dev.deluge-torrent.org/" target="_blank" rel="nooopener">Deluge</a> | <a href="https://www.qbittorrent.org/" target="_blank" rel="nooopener">qBittorrent</a> (bittorrent clients),&& (sequence commands)
<a href='https://destinationlinux.org/episode-127'>DL127</a>,<a href="https://github.com/xournalpp/xournalpp" target="_blank" rel="nooopener">Xournal++</a> (notes & pdf annotation),<a href="https://github.com/gavinlyonsrepo/cylon" target="_blank" rel="nooopener">Cylon</a> (Arch Maintenance)
<a href='https://destinationlinux.org/episode-126'>DL126</a>,<a href="https://joeyh.name/code/alien/" target="_blank" rel="nooopener">Alien</a> (package converter),<a href="http://man7.org/linux/man-pages/man1/nohup.1.html" target="_blank" rel="nooopener">nohup</a>
<a href='https://destinationlinux.org/episode-125'>DL125</a>,/dev/null,/dev/null
<a href='https://destinationlinux.org/episode-124'>DL124</a>,/dev/null,/dev/null
<a href='https://destinationlinux.org/episode-123'>DL123</a>,<a href="https://wiki.gnome.org/Apps/DejaDup" target="_blank" rel="nooopener">Deja Dup</a> (backup utility),<a href="http://man7.org/linux/man-pages/man1/tail.1.html" target="_blank" rel="nooopener">tail</a>
<a href='https://destinationlinux.org/episode-122'>DL122</a>,/dev/null,/dev/null
<a href='https://destinationlinux.org/episode-121'>DL121</a>,linuxappstore.io [deprecated],<a href="http://man7.org/linux/man-pages/man8/iotop.8.html" target="_blank" rel="nooopener">iotop</a> (disk monitoring)
<a href='https://destinationlinux.org/episode-120'>DL120</a>,<a href="https://github.com/LinArcX/Kindd" target="_blank" rel="nooopener">Kindd</a> (ISO to USB),<a href="http://distrotest.net/" target="_blank" rel="nooopener">Distrotest.net</a>
<a href='https://destinationlinux.org/episode-119'>DL119</a>,<a href="https://github.com/jeromerobert/pdfarranger" target="_blank" rel="nooopener">PDFArranger</a>,<a href="http://man7.org/linux/man-pages/man1/bc.1p.html" target="_blank" rel="nooopener">bc</a> (cli calculator)
<a href='https://destinationlinux.org/episode-118'>DL118</a>,<a href="http://www.fsarchiver.org" target="_blank" rel="nooopener">fsarchiver</a>,<a href="https://fwupd.org/" target="_blank" rel="nooopener">LVFS & fwpupd</a> (firmware updates)
<a href='https://destinationlinux.org/episode-117'>DL117</a>,<a href="https://code.google.com/archive/p/key-mon/" target="_blank" rel="nooopener">Key-Mon</a> (keyboard status monitor),<a href="http://man7.org/linux/man-pages/man1/wget.1.html" target="_blank" rel="nooopener">wget</a> | <a href="man7.org/linux/man-pages/man1/curl.1.html" target="_blank" rel="nooopener">curl</a> (download utilities)
<a href='https://destinationlinux.org/episode-116'>DL116</a>,<a href="http://gohugo.io/" target="_blank" rel="nooopener">Hugo</a> (Site Generator),<a href="https://gnunn1.github.io/tilix-web/" target="_blank" rel="nooopener">Tilix</a> | <a href="https://github.com/realh/roxterm" target="_blank" rel="nooopener">Roxterm</a> | <a href="https://kde.org/applications/system/yakuake/" target="_blank" rel="nooopener">Yakuake</a> (terminal apps)
<a href='https://destinationlinux.org/episode-115'>DL115</a>,<a href="https://natrongithub.github.io/" target="_blank" rel="nooopener">Natron</a> (motion graphics editor),<a href="http://gnu.org/software/ddrescue/" target="_blank" rel="nooopener">DDRescue</a> (data recovery tool)
<a href='https://destinationlinux.org/episode-114'>DL114</a>,<a href="http://github.com/phw/peek" target="_blank" rel="nooopener">Peek</a>,xkill
<a href='https://destinationlinux.org/episode-113'>DL113</a>,<a href="http://hardinfo.org/" target="_blank" rel="nooopener">HardInfo</a> (System profiler),<a href="https://tkashkin.tk/projects/gamehub/" target="_blank" rel="nooopener">GameHub</a> (games manager)
<a href='https://destinationlinux.org/episode-112'>DL112</a>,<a href="http://hexchat.github.io/" target="_blank" rel="nooopener">Konversation</a> | <a href="http://hexchat.github.io/" target="_blank" rel="nooopener">Hexchat</a> | <a href="https://kiwiirc.com/" target="_blank" rel="nooopener">KiwiIRC</a> | <a href="http://weechat.org/" target="_blank" rel="nooopener">Weechat</a> | <a href="https://quassel-irc.org/" target="_blank" rel="nooopener">Quassel</a> | <a href="https://irssi.org/" target="_blank" rel="nooopener">Irssi</a> (IRC clients),<a href="https://linux.die.net/man/1/zsync" target="_blank" rel="nooopener">Zsync</a>
<a href='https://destinationlinux.org/episode-111'>DL111</a>,<a href="https://github.com/varietywalls/variety" target="_blank" rel="nooopener">Variety</a> | <a href="https://vitux.com/how-to-automatically-change-wallpaper-based-on-time-of-day-in-ubuntu-with-wallch/" target="_blank" rel="nooopener">Wallch</a> (wallpaper changers),<a href="http://wpitchoune.net/psensor" target="_blank" rel="nooopener">Psensor</a> (hardware monitoring)
<a href='https://destinationlinux.org/episode-110'>DL110</a>,<a href="https://github.com/lupoDharkael/flameshot" target="_blank" rel="nooopener">Flameshot</a>,<a href="https://github.com/lm-sensors/lm-sensors" target="_blank" rel="nooopener">lmsensors</a> (hardware monitoring)
<a href='https://destinationlinux.org/episode-109'>DL109</a>,<a href="https://jami.net/" target="_blank" rel="nooopener">Jami Messenger</a>,Getting kernel & Mesa info
